DP0010001,DP0010002,DP0010003,DP0010004,DP0010005,DP0010006,DP0010007,DP0010008,DP0010009,DP0010010,DP0010011,DP0010012,DP0010013,DP0010014,DP0010015,DP0010016,DP0010017,DP0010018
3141,123,105,88,104,249,301,213,242,355,431,340,264,171,75,33,25,15
5561,205,227,226,249,334,517,455,477,660,627,605,458,328,110,47,17,14
34707,2552,2485,2626,2733,2200,2094,2062,2168,2163,2558,2531,2203,1921,1419,1139,803,564
21720,1528,1609,1510,1867,1275,1218,1282,1400,1368,1397,1475,1315,1243,958,754,612,486
26151,2115,2015,2156,2327,1905,1651,1493,1473,1454,1705,1785,1582,1304,955,761,617,428
12093,808,838,820,863,850,1021,904,742,720,879,844,775,595,457,307,262,227
43475,2305,1665,1485,2702,10545,4981,3162,2186,2238,2208,2145,2100,1736,1224,896,726,614
139966,9964,6354,4630,4953,8142,17762,16419,13569,11224,9706,8987,8282,7168,4587,2758,1935,1605
6650,413,375,403,558,623,387,389,344,407,409,427,415,432,332,269,196,123
22565,1279,1253,1294,1221,1810,1726,1540,1483,1626,1744,1696,1410,1395,921,695,529,483
2368139,192838,183511,173403,169193,171581,197831,187210,178136,164851,164975,152908,124614,99116,68641,48095,37439,27990
35012,2267,2185,2047,2542,2484,2436,2240,1902,2259,2945,3147,2324,1619,1395,1049,964,659
1336,57,77,77,102,61,61,49,62,86,113,98,85,89,84,82,54,49
6446,493,503,527,488,318,339,332,350,368,418,425,428,312,306,263,221,209
9232,542,526,529,481,675,688,517,503,514,622,672,722,710,502,383,276,199
10605,699,761,705,689,579,514,537,553,622,757,733,717,758,599,519,389,252
86129,5713,5964,6104,6267,5973,5212,4926,5252,5592,6478,6298,5481,4868,4037,3043,2183,1414
14445,840,890,980,1084,813,807,784,875,952,1045,1084,1000,949,796,597,462,286
60968,5513,5697,5939,5700,4424,4013,3801,4053,3901,3398,3139,2613,2492,1946,1682,1138,827
3598,190,163,222,230,205,180,171,216,209,204,247,234,253,230,226,197,146
3057,256,216,235,208,152,176,176,150,165,210,206,196,165,151,108,120,81
110224,7726,7278,6865,8750,10583,8374,6395,5961,6126,7112,7294,6746,5749,4320,3578,3090,2236
8895,501,551,596,526,372,378,396,509,480,610,706,643,693,581,476,392,285
