"shapeid","ZCTA5CE10","GEOID10","ALAND10","AWATER10","INTPTLAT10","INTPTLON10","DP0010001","DP0010002","DP0010003","DP0010004","DP0010005","DP0010006","DP0010007","DP0010008","DP0010009","DP0010010","DP0010011","DP0010012","DP0010013","DP0010014","DP0010015","DP0010016","DP0010017","DP0010018","DP0010019","DP0010020","DP0010021","DP0010022","DP0010023","DP0010024","DP0010025","DP0010026","DP0010027","DP0010028","DP0010029","DP0010030","DP0010031","DP0010032","DP0010033","DP0010034","DP0010035","DP0010036","DP0010037","DP0010038","DP0010039","DP0010040","DP0010041","DP0010042","DP0010043","DP0010044","DP0010045","DP0010046","DP0010047","DP0010048","DP0010049","DP0010050","DP0010051","DP0010052","DP0010053","DP0010054","DP0010055","DP0010056","DP0010057","DP0020001","DP0020002","DP0020003","DP0030001","DP0030002","DP0030003","DP0040001","DP0040002","DP0040003","DP0050001","DP0050002","DP0050003","DP0060001","DP0060002","DP0060003","DP0070001","DP0070002","DP0070003","DP0080001","DP0080002","DP0080003","DP0080004","DP0080005","DP0080006","DP0080007","DP0080008","DP0080009","DP0080010","DP0080011","DP0080012","DP0080013","DP0080014","DP0080015","DP0080016","DP0080017","DP0080018","DP0080019","DP0080020","DP0080021","DP0080022","DP0080023","DP0080024","DP0090001","DP0090002","DP0090003","DP0090004","DP0090005","DP0090006","DP0100001","DP0100002","DP0100003","DP0100004","DP0100005","DP0100006","DP0100007","DP0110001","DP0110002","DP0110003","DP0110004","DP0110005","DP0110006","DP0110007","DP0110008","DP0110009","DP0110010","DP0110011","DP0110012","DP0110013","DP0110014","DP0110015","DP0110016","DP0110017","DP0120001","DP0120002","DP0120003","DP0120004","DP0120005","DP0120006","DP0120007","DP0120008","DP0120009","DP0120010","DP0120011","DP0120012","DP0120013","DP0120014","DP0120015","DP0120016","DP0120017","DP0120018","DP0120019","DP0120020","DP0130001","DP0130002","DP0130003","DP0130004","DP0130005","DP0130006","DP0130007","DP0130008","DP0130009","DP0130010","DP0130011","DP0130012","DP0130013","DP0130014","DP0130015","DP0140001","DP0150001","DP0160001","DP0170001","DP0180001","DP0180002","DP0180003","DP0180004","DP0180005","DP0180006","DP0180007","DP0180008","DP0180009","DP0190001","DP0200001","DP0210001","DP0210002","DP0210003","DP0220001","DP0220002","DP0230001","DP0230002","Shape_Leng","Shape_Area"
"0","77503","77503","22174586.0","1024652.0","+29.7034770","-095.1588945","24251","2254","2102","2059","1928","1828","1880","1817","1673","1504","1487","1432","1254","979","628","476","385","341","224","11946","1132","1117","1078","931","910","915","905","837","748","754","715","625","481","279","185","159","121","54","12305","1122","985","981","997","918","965","912","836","756","733","717","629","498","349","291","226","220","170","30.2","29.4","31.0","17425","8416","9009","16691","8062","8629","15536","7500","8036","2612","1065","1547","2054","798","1256","24251","23576","18641","601","233","134","15","6","12","3","15","44","39","16","3","6","5","2","3951","675","72","33","63","398","19226","694","352","202","29","4441","24251","15412","13559","142","65","1646","8839","24251","15412","10684","73","172","12","8","3937","526","8839","7957","528","61","122","8","14","149","24251","24118","8018","3843","8725","6476","2317","982","227","1215","102","35","623","133","108","30","78","25","2","23","8018","5750","3183","3843","2113","652","354","1255","716","2268","1893","941","190","952","471","3605","1586","3.01","3.59","8883","8018","865","541","47","70","12","21","174","1.5","13.1","8018","4488","3530","14275","9843","3.18","2.79","0.28086610342","0.00216268623"
"1.0","77338","77338","68564213.0","2290805.0","+30.0173010","-095.2862173","33971","3079","2869","2728","2613","2616","2943","2969","2598","2226","2114","1937","1636","1429","810","575","371","247","211","16417","1570","1434","1390","1384","1291","1385","1444","1222","1136","941","897","735","661","363","243","167","82","72","17554","1509","1435","1338","1229","1325","1558","1525","1376","1090","1173","1040","901","768","447","332","204","165","139","30.2","29.1","31.1","24744","11733","13011","23697","11166","12531","22195","10395","11800","2999","1277","1722","2214","927","1287","33971","32766","15573","10930","194","915","155","84","249","15","17","112","283","239","25","78","12","124","4915","1205","64","105","192","505","16520","11311","358","1130","317","5617","33971","12822","9427","326","121","2948","21149","33971","12822","6807","225","125","37","15","4863","750","21149","8766","10705","69","878","224","52","455","33971","33858","11760","5265","11510","8716","3450","1384","356","1873","169","56","838","113","98","35","63","15","5","10","11760","8297","4540","5265","2755","700","353","2332","1432","3463","2804","1295","153","1509","364","5176","1692","2.88","3.44","13017","11760","1257","761","22","215","23","28","208","3.2","12.6","11760","6523","5237","20007","13851","3.07","2.64","0.67305065025","0.00662504659"
"1.1","77338","77338","68564213.0","2290805.0","+30.0173010","-095.2862173","33971","3079","2869","2728","2613","2616","2943","2969","2598","2226","2114","1937","1636","1429","810","575","371","247","211","16417","1570","1434","1390","1384","1291","1385","1444","1222","1136","941","897","735","661","363","243","167","82","72","17554","1509","1435","1338","1229","1325","1558","1525","1376","1090","1173","1040","901","768","447","332","204","165","139","30.2","29.1","31.1","24744","11733","13011","23697","11166","12531","22195","10395","11800","2999","1277","1722","2214","927","1287","33971","32766","15573","10930","194","915","155","84","249","15","17","112","283","239","25","78","12","124","4915","1205","64","105","192","505","16520","11311","358","1130","317","5617","33971","12822","9427","326","121","2948","21149","33971","12822","6807","225","125","37","15","4863","750","21149","8766","10705","69","878","224","52","455","33971","33858","11760","5265","11510","8716","3450","1384","356","1873","169","56","838","113","98","35","63","15","5","10","11760","8297","4540","5265","2755","700","353","2332","1432","3463","2804","1295","153","1509","364","5176","1692","2.88","3.44","13017","11760","1257","761","22","215","23","28","208","3.2","12.6","11760","6523","5237","20007","13851","3.07","2.64","0.67305065025","0.00662504659"
"2","77504","77504","14299172.0","87892.0","+29.6479156","-095.1897803","24529","2199","1995","1725","1838","2093","2059","1810","1634","1519","1532","1435","1195","1073","690","531","429","377","395","11869","1120","1009","860","942","1050","1023","916","803","749","758","670","562","515","316","212","159","115","90","12660","1079","986","865","896","1043","1036","894","831","770","774","765","633","558","374","319","270","262","305","30.8","29.6","32.2","18277","8697","9580","17570","8341","9229","16377","7744","8633","3043","1187","1856","2422","892","1530","24529","23786","18069","988","148","760","274","38","71","3","25","274","75","13","1","7","0","5","3808","743","75","43","96","394","18696","1166","249","844","22","4316","24529","13584","11325","171","65","2023","10945","24529","13584","9031","112","100","10","6","3774","551","10945","9038","876","48","750","7","34","192","24529","24188","8879","3868","8058","6084","2058","801","207","1325","65","31","717","341","335","105","230","6","5","1","8879","5974","3208","3868","1951","687","356","1419","901","2905","2398","1056","172","1342","601","3577","1721","2.72","3.34","9883","8879","1004","752","16","66","6","15","149","1.7","12.9","8879","3820","5059","11054","13134","2.89","2.6","0.21690657477","0.00134048844"
"2.ring1","77504","77504","14299172.0","87892.0","+29.6479156","-095.1897803","24529","2199","1995","1725","1838","2093","2059","1810","1634","1519","1532","1435","1195","1073","690","531","429","377","395","11869","1120","1009","860","942","1050","1023","916","803","749","758","670","562","515","316","212","159","115","90","12660","1079","986","865","896","1043","1036","894","831","770","774","765","633","558","374","319","270","262","305","30.8","29.6","32.2","18277","8697","9580","17570","8341","9229","16377","7744","8633","3043","1187","1856","2422","892","1530","24529","23786","18069","988","148","760","274","38","71","3","25","274","75","13","1","7","0","5","3808","743","75","43","96","394","18696","1166","249","844","22","4316","24529","13584","11325","171","65","2023","10945","24529","13584","9031","112","100","10","6","3774","551","10945","9038","876","48","750","7","34","192","24529","24188","8879","3868","8058","6084","2058","801","207","1325","65","31","717","341","335","105","230","6","5","1","8879","5974","3208","3868","1951","687","356","1419","901","2905","2398","1056","172","1342","601","3577","1721","2.72","3.34","9883","8879","1004","752","16","66","6","15","149","1.7","12.9","8879","3820","5059","11054","13134","2.89","2.6","0.21690657477","0.00134048844"
"3","77339","77339","43689679.0","2494775.0","+30.0467773","-095.2210224","37512","2300","2414","2632","2448","2166","2635","2566","2594","2568","2724","2815","2438","2324","1754","1143","816","607","568","18139","1193","1183","1285","1242","1090","1319","1251","1274","1242","1331","1361","1152","1065","831","523","382","237","178","19373","1107","1231","1347","1206","1076","1316","1315","1320","1326","1393","1454","1286","1259","923","620","434","370","390","38.2","37.1","39.1","29655","14208","15447","28559","13660","14899","27279","13006","14273","6292","2793","3499","4888","2151","2737","37512","36617","31989","1882","179","1154","291","165","204","29","34","132","299","52","7","28","9","8","1361","895","179","174","156","210","32782","2130","413","1421","90","1639","37512","5513","3485","260","130","1638","31999","37512","5513","3686","78","53","44","0","1298","354","31999","28303","1804","126","1110","52","63","541","37512","37306","15131","8233","10806","8233","1582","589","292","1554","129","56","755","206","195","46","149","11","8","3","15131","10257","4527","8233","3341","555","302","1469","884","4874","4072","1787","250","2285","878","4903","3404","2.47","3.01","16137","15131","1006","563","26","184","20","68","145","1.8","9.6","15131","9864","5267","26678","10628","2.7","2.02","0.28972351981","0.00432011833"
"4","77505","77505","23708778.0","174798.0","+29.6456437","-095.1403150","23223","1455","1626","1840","1938","1748","1607","1398","1524","1598","1976","1988","1615","1028","688","481","330","236","147","11429","753","849","907","972","926","784","684","750","746","911","961","820","515","326","230","151","91","53","11794","702","777","933","966","822","823","714","774","852","1065","1027","795","513","362","251","179","145","94","35.0","34.0","35.9","17925","8742","9183","17111","8315","8796","15992","7751","8241","2464","1147","1317","1882","851","1031","23223","22675","18459","536","165","1186","411","57","80","7","84","434","113","20","13","0","5","2","2309","548","55","88","49","231","18909","630","244","1344","48","2624","23223","7701","6287","100","104","1210","15522","23223","7701","4970","45","96","11","0","2276","303","15522","13489","491","69","1175","20","33","245","23223","23223","8183","4750","7782","5431","1541","593","242","967","86","26","462","0","0","0","0","0","0","0","8183","6247","2995","4750","2182","442","202","1055","611","1936","1579","778","100","801","262","3334","1364","2.84","3.25","8881","8183","698","545","9","48","8","35","53","0.8","18.6","8183","5802","2381","17280","5943","2.98","2.5","0.36142893913","0.00222526452"
"5","77506","77506","23704366.0","3810545.0","+29.7139188","-095.1997019","35977","3892","3487","3295","3115","2972","2835","2799","2584","2364","2225","1932","1404","1040","707","517","348","263","198","18459","2013","1775","1650","1650","1551","1511","1482","1320","1205","1180","1013","733","513","310","242","135","100","76","17518","1879","1712","1645","1465","1421","1324","1317","1264","1159","1045","919","671","527","397","275","213","163","122","27.2","27.0","27.5","24654","12665","11989","23412","12002","11410","21557","11047","10510","2600","1143","1457","2033","863","1170","35977","34893","25399","696","284","168","38","7","49","5","1","29","39","18","10","5","1","2","8328","1084","61","36","70","754","26356","831","408","245","46","9219","35977","30510","27269","147","67","3027","5467","35977","30510","20838","155","238","25","3","8291","960","5467","4561","541","46","143","15","37","124","35977","35937","10390","5190","13999","10477","4312","1890","313","2046","190","33","896","40","27","20","7","13","2","11","10390","7994","4903","5190","3239","974","497","1830","1167","2396","1882","1040","169","842","386","5627","1639","3.46","3.94","12156","10390","1766","1223","25","92","22","30","374","2.0","17.1","10390","4490","5900","16576","19361","3.69","3.28","0.28793530938","0.00256532116"
"6.0","77507","77507","36113651.0","1281774.0","+29.6245541","-095.0634883","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","0","0","0","0","0","0.0","0.0","0.33821029272","0.00348350487"
"6.1","77507","77507","36113651.0","1281774.0","+29.6245541","-095.0634883","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","0","0","0","0","0","0.0","0.0","0.33821029272","0.00348350487"
