"shapeid","x","y"
"0","-95.310994","30.032887"
"0","-95.310756","30.03289"
"0","-95.310433","30.032825"
"0","-95.309497","30.032536"
"0","-95.308003","30.031913"
"0","-95.307272","30.031442"
"0","-95.306916","30.031061"
"0","-95.306619","30.030743"
"0","-95.306248","30.030266"
"0","-95.30591","30.029949"
"0","-95.305603","30.029767"
"0","-95.305135","30.029625"
"0","-95.304722","30.029632"
"0","-95.304418","30.029749"
"0","-95.30435","30.029801"
"0","-95.304229","30.030063"
"0","-95.303864","30.03077"
"0","-95.303655","30.031037"
"0","-95.303411","30.031332"
"0","-95.303188","30.031635"
"0","-95.302983","30.031941"
"0","-95.302926","30.032018"
"0","-95.302844","30.032089"
"0","-95.302736","30.032155"
"0","-95.302382","30.032287"
"0","-95.301687","30.032298"
"0","-95.300942","30.032259"
"0","-95.300272","30.032199"
"0","-95.299931","30.032193"
"0","-95.299437","30.032048"
"0","-95.297574","30.0315"
"0","-95.297377","30.031407"
"0","-95.297219","30.031372"
"0","-95.296559","30.03102"
"0","-95.296416","30.030935"
"0","-95.295998","30.030676"
"0","-95.295771","30.030546"
"0","-95.295134","30.03029"
"0","-95.294772","30.030171"
"0","-95.294118","30.029831"
"0","-95.294029","30.029758"
"0","-95.293707","30.029491"
"0","-95.293379","30.028885"
"0","-95.293321","30.028758"
"0","-95.293292","30.028695"
"0","-95.293264","30.028584"
"0","-95.293101","30.028209"
"0","-95.292997","30.027905"
"0","-95.292912","30.027748"
"0","-95.292825","30.027753"
"0","-95.292681","30.027761"
"0","-95.292563","30.027786"
"0","-95.289679","30.028395"
"0","-95.28792","30.028733"
"0","-95.287492","30.028815"
"0","-95.287064","30.028897"
"0","-95.286896","30.028969"
"0","-95.286749","30.029037"
"0","-95.286186","30.029203"
"0","-95.285403","30.029609"
"0","-95.285346","30.029638"
"0","-95.28507","30.029829"
"0","-95.284076","30.030222"
"0","-95.282952","30.030594"
"0","-95.282552","30.030687"
"0","-95.282109","30.030779"
"0","-95.281243","30.03086"
"0","-95.280179","30.030737"
"0","-95.27895","30.030924"
"0","-95.278441","30.031007"
"0","-95.277165","30.031297"
"0","-95.276177","30.031523"
"0","-95.273908","30.032292"
"0","-95.272767","30.032526"
"0","-95.27229","30.032558"
"0","-95.271741","30.032564"
"0","-95.271302","30.032508"
"0","-95.271074","30.032452"
"0","-95.270684","30.032396"
"0","-95.270313","30.032292"
"0","-95.268823","30.032018"
"0","-95.268772","30.032005"
"0","-95.268704","30.032"
"0","-95.268228","30.031934"
"0","-95.267814","30.031978"
"0","-95.2674","30.032022"
"0","-95.267142","30.03205"
"0","-95.266885","30.032078"
"0","-95.266767","30.03209"
"0","-95.266649","30.032103"
"0","-95.266005","30.032172"
"0","-95.26536","30.032241"
"0","-95.265038","30.032274"
"0","-95.26461","30.032319"
"0","-95.264013","30.032217"
"0","-95.263847","30.032365"
"0","-95.26377","30.032434"
"0","-95.263724","30.032475"
"0","-95.263677","30.032517"
"0","-95.263662","30.032531"
"0","-95.263612","30.032575"
"0","-95.263561","30.032619"
"0","-95.26348","30.032691"
"0","-95.263322","30.032831"
"0","-95.263105","30.033022"
"0","-95.263004","30.033099"
"0","-95.262728","30.033314"
"0","-95.262453","30.03353"
"0","-95.260976","30.034686"
"0","-95.260825","30.034804"
"0","-95.260674","30.034923"
"0","-95.260414","30.035127"
"0","-95.260155","30.035331"
"0","-95.259858","30.035564"
"0","-95.255464","30.039078"
"0","-95.255411","30.039118"
"0","-95.255143","30.039297"
"0","-95.25513","30.039307"
"0","-95.255121","30.039312"
"0","-95.255022","30.039408"
"0","-95.254987","30.039432"
"0","-95.254952","30.039469"
"0","-95.254828","30.0396"
"0","-95.254714","30.039713"
"0","-95.254668","30.039751"
"0","-95.254494","30.039907"
"0","-95.25061","30.042962"
"0","-95.250534","30.043021"
"0","-95.250503","30.043046"
"0","-95.250472","30.04307"
"0","-95.250419","30.043114"
"0","-95.250365","30.043152"
"0","-95.250202","30.043267"
"0","-95.25008","30.043346"
"0","-95.249881","30.043497"
"0","-95.249854","30.043518"
"0","-95.249723","30.043609"
"0","-95.249709","30.043619"
"0","-95.249526","30.043765"
"0","-95.246073","30.046528"
"0","-95.245708","30.046818"
"0","-95.244045","30.048128"
"0","-95.24373","30.048363"
"0","-95.241947","30.049726"
"0","-95.241915","30.049762"
"0","-95.241635","30.050077"
"0","-95.241508","30.050221"
"0","-95.240634","30.050837"
"0","-95.240097","30.051217"
"0","-95.239723","30.051483"
"0","-95.239635","30.051545"
"0","-95.23943","30.051716"
"0","-95.239392","30.051746"
"0","-95.239329","30.051794"
"0","-95.239177","30.051921"
"0","-95.239016","30.052053"
"0","-95.238719","30.052297"
"0","-95.238413","30.052549"
"0","-95.238118","30.052792"
"0","-95.238054","30.052845"
"0","-95.237957","30.052925"
"0","-95.237724","30.053116"
"0","-95.237471","30.053325"
"0","-95.237296","30.05347"
"0","-95.2371","30.053631"
"0","-95.236825","30.053858"
"0","-95.23655","30.054084"
"0","-95.236517","30.054111"
"0","-95.23586","30.054653"
"0","-95.235346","30.055076"
"0","-95.235169","30.055222"
"0","-95.234054","30.056194"
"0","-95.23386","30.056353"
"0","-95.233023","30.05704"
"0","-95.232019","30.057867"
"0","-95.231658","30.058165"
"0","-95.231469","30.05832"
"0","-95.231387","30.058387"
"0","-95.231027","30.058684"
"0","-95.230725","30.058929"
"0","-95.230262","30.059306"
"0","-95.229669","30.059788"
"0","-95.229274","30.060112"
"0","-95.228816","30.060484"
"0","-95.22827","30.06093"
"0","-95.227612","30.061467"
"0","-95.227522","30.06154"
"0","-95.227425","30.061617"
"0","-95.227329","30.061694"
"0","-95.227216","30.061797"
"0","-95.227043","30.061948"
"0","-95.222474","30.065626"
"0","-95.222109","30.065918"
"0","-95.220824","30.067006"
"0","-95.220799","30.067026"
"0","-95.220134","30.06751"
"0","-95.21971","30.067818"
"0","-95.219666","30.067863"
"0","-95.21906","30.068479"
"0","-95.219012","30.068528"
"0","-95.21871","30.068722"
"0","-95.218685","30.068739"
"0","-95.21865","30.068765"
"0","-95.218301","30.069038"
"0","-95.21513","30.071518"
"0","-95.214849","30.071737"
"0","-95.214118","30.072306"
"0","-95.212806","30.073327"
"0","-95.212049","30.073924"
"0","-95.211892","30.074046"
"0","-95.211617","30.07426"
"0","-95.211318","30.074473"
"0","-95.209051","30.076272"
"0","-95.207303","30.077639"
"0","-95.204","30.080222"
"0","-95.203764","30.080428"
"0","-95.203746","30.080444"
"0","-95.202837","30.081244"
"0","-95.201144","30.082735"
"0","-95.200336","30.083446"
"0","-95.19821","30.085317"
"0","-95.196567","30.086659"
"0","-95.196228","30.086935"
"0","-95.195804","30.087249"
"0","-95.195786","30.087264"
"0","-95.195724","30.087321"
"0","-95.191698","30.090521"
"0","-95.190668","30.091344"
"0","-95.180797","30.099236"
"0","-95.180623","30.099375"
"0","-95.180527","30.099452"
"0","-95.177471","30.101927"
"0","-95.175139","30.103815"
"0","-95.173124","30.105447"
"0","-95.173096","30.10547"
"0","-95.172914","30.105614"
"0","-95.172875","30.105649"
"0","-95.172853","30.105668"
"0","-95.172715","30.105812"
"0","-95.172663","30.105857"
"0","-95.166563","30.110732"
"0","-95.165209","30.111816"
"0","-95.154678","30.120274"
"0","-95.13568","30.135534"
"0","-95.135639","30.135565"
"0","-95.134613","30.136334"
"0","-95.134581","30.136357"
"0","-95.134185","30.136635"
"0","-95.133024","30.137568"
"0","-95.131719","30.13854"
"0","-95.131571","30.138641"
"0","-95.13095","30.139343"
"0","-95.130686","30.139641"
"0","-95.130648","30.139681"
"0","-95.130505","30.139834"
"0","-95.130178","30.140052"
"0","-95.129866","30.140274"
"0","-95.129106","30.140806"
"0","-95.129031","30.140858"
"0","-95.128956","30.140911"
"0","-95.128319","30.141357"
"0","-95.128263","30.141404"
"0","-95.12701","30.142432"
"0","-95.126067","30.14323"
"0","-95.126036","30.143257"
"0","-95.125727","30.143546"
"0","-95.125134","30.144039"
"0","-95.12447","30.144505"
"0","-95.124306","30.144617"
"0","-95.124006","30.145016"
"0","-95.123602","30.145355"
"0","-95.122167","30.146549"
"0","-95.119079","30.149118"
"0","-95.118432","30.149639"
"0","-95.117857","30.150102"
"0","-95.117238","30.150601"
"0","-95.116307","30.151353"
"0","-95.115906","30.151694"
"0","-95.115505","30.152036"
"0","-95.115446","30.152087"
"0","-95.106091","30.159639"
"0","-95.096708","30.167214"
