DP0010001,DP0010002,DP0010003,DP0010004,DP0010005,DP0010006,DP0010007,DP0010008,DP0010009,DP0010010,DP0010011,DP0010012,DP0010013,DP0010014,DP0010015,DP0010016,DP0010017,DP0010018,DP0010019
24251,2254,2102,2059,1928,1828,1880,1817,1673,1504,1487,1432,1254,979,628,476,385,341,224
33971,3079,2869,2728,2613,2616,2943,2969,2598,2226,2114,1937,1636,1429,810,575,371,247,211
24529,2199,1995,1725,1838,2093,2059,1810,1634,1519,1532,1435,1195,1073,690,531,429,377,395
37512,2300,2414,2632,2448,2166,2635,2566,2594,2568,2724,2815,2438,2324,1754,1143,816,607,568
23223,1455,1626,1840,1938,1748,1607,1398,1524,1598,1976,1988,1615,1028,688,481,330,236,147
35977,3892,3487,3295,3115,2972,2835,2799,2584,2364,2225,1932,1404,1040,707,517,348,263,198
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26122,1313,2020,2535,2338,938,787,1055,1594,2098,2492,2513,2200,1727,1060,603,371,256,222
53578,4413,4634,4689,4134,2553,3301,4250,4830,4263,3975,3626,3140,2511,1441,845,489,302,182
36489,3111,3030,2863,3074,2682,2576,2385,2385,2365,2264,2237,2044,1622,1133,829,721,576,592
49507,4277,4082,3940,3745,3432,3721,3692,3456,3077,3145,3133,2923,2343,1586,1041,735,601,578
31086,2930,3043,2883,2764,2343,2286,2228,2314,2070,2015,1868,1470,1061,686,479,310,188,148
26236,1943,1999,2028,1991,1450,1681,1731,1902,1722,1921,2106,1777,1449,978,612,444,310,192
30690,2071,2206,2476,2405,1735,1854,2189,2114,2086,2205,2354,2110,1638,1127,785,544,420,371
54609,4468,4745,4643,4362,3171,4080,4587,4573,3958,3849,3538,2935,2347,1445,779,511,330,288
39351,3520,3336,3161,2774,2274,3094,3439,3229,2798,2621,2313,1790,1468,1056,710,631,531,606
9735,955,871,927,846,710,709,638,721,641,540,563,470,329,257,160,136,161,101
28708,2156,2452,2457,2082,1330,1501,1877,2359,2433,2418,2196,1815,1417,876,545,370,228,196
70544,4892,5592,6000,5522,3365,3792,4382,5171,5281,5878,5756,4948,3892,2601,1371,939,654,508
10459,744,692,786,819,668,654,638,654,693,801,845,751,558,367,302,226,140,121
40384,2808,2929,3343,3264,2026,2396,2781,3071,3120,3186,3187,2565,2101,1508,893,565,375,266
21255,1742,1764,1707,1612,901,1168,1467,1672,1626,1693,1649,1381,1109,713,480,297,145,129
35666,2552,2723,2710,2728,2282,2416,2473,2583,2439,2663,2717,2489,1749,1179,749,552,381,281
43317,4350,3757,3334,3213,3414,4221,4198,3653,2974,2720,2378,1852,1312,783,470,302,220,166
17491,1152,1407,1523,1255,532,652,748,1201,1440,1547,1799,1455,1012,588,367,292,227,294
20970,1131,1337,1580,1622,1137,1138,1096,1427,1583,1923,1961,1654,1138,828,522,434,255,204
16568,1605,1587,1457,1456,1292,1218,1254,1201,1087,1021,888,708,594,410,311,236,153,90
23059,1823,1419,1191,1236,2726,3301,2285,1622,1437,1460,1287,974,765,483,305,222,220,303
72264,5442,6628,6980,5258,3171,4041,4842,5989,6514,5993,5469,4170,3105,2008,1161,768,416,309
50539,4688,5377,5149,3780,2323,3505,4420,5037,4445,3596,2788,1928,1421,938,491,332,192,129
11872,898,947,1029,957,663,696,735,773,833,899,1002,775,639,454,229,150,102,91
94382,8672,9223,9181,8154,5620,7016,8322,8377,7323,6378,5505,3913,2670,1606,960,659,434,369
71889,4523,5955,6901,6088,3368,3529,3843,5572,6135,6519,6408,4719,3363,2060,1122,769,558,457
16793,88,45,36,1017,2626,2983,2217,1711,1590,1542,1265,867,480,163,79,48,12,24
10508,731,673,559,600,880,1384,1098,770,675,762,721,550,410,232,161,110,113,79
32692,1495,1214,1065,3885,5830,3213,2360,1831,1740,1784,2026,1868,1394,894,593,600,483,417
25528,1664,1884,1644,1609,1556,1547,1588,1796,1884,1913,2067,1964,1617,1047,503,411,355,479
19664,636,352,314,659,1997,3213,2439,1807,1487,1400,1467,1321,1131,671,325,197,126,122
30853,1669,988,728,762,2557,5529,4363,3081,2357,1987,1871,1740,1237,786,465,293,241,199
30482,2060,1321,1011,948,1649,3726,3508,2870,2337,2150,2269,2029,1428,926,671,520,530,529
38094,3066,2683,2301,2492,2462,3194,3080,2984,2634,2689,2635,2425,1741,1187,825,714,512,470
366,2,3,4,4,36,55,30,28,19,39,58,40,32,12,1,2,0,1
19547,1795,1569,1504,1483,1426,1534,1429,1343,1242,1231,1267,1042,801,595,459,376,267,184
20719,2040,1836,1608,1669,1733,1746,1652,1480,1305,1276,1170,972,745,478,378,247,211,173
17602,1788,1578,1295,1272,1488,1538,1460,1251,1015,954,1004,857,730,431,281,256,209,195
28684,2654,2600,2408,2408,2293,2469,2269,2308,2156,1950,1784,1311,893,514,287,197,112,71
53621,4883,4772,4748,4765,4245,4192,3926,3788,3500,3384,3286,2673,1951,1298,850,636,445,279
26989,1917,1912,1885,2013,1750,1638,1532,1538,1621,1798,1860,1623,1544,1577,1232,807,452,290
32561,3002,2861,2803,2787,2620,2392,2323,2342,2232,2082,1899,1549,1191,767,585,469,381,276
25563,1895,1427,1269,1325,1264,1851,2026,1990,1929,1934,2104,1855,1391,950,659,610,536,548
18944,806,783,696,674,1391,2570,1899,1511,1267,1286,1431,1447,1174,852,449,296,221,191
25464,2501,2154,1964,2046,1864,1994,1739,1585,1540,1638,1546,1366,1096,742,565,477,357,290
26042,1967,1839,1688,1930,2225,2007,1677,1565,1476,1675,1663,1385,1173,1018,912,747,586,509
29557,2642,2447,2113,2338,2328,2341,1989,1871,1898,1960,1948,1447,1215,920,720,625,434,321
28998,2586,2327,2091,2116,2459,2562,2334,2091,1819,1835,1794,1573,1179,771,526,389,298,248
34775,1468,2472,2827,2447,1108,1381,1283,1895,2408,3022,3071,2727,2333,1668,1276,1132,1112,1145
26137,1807,1530,1270,1155,1892,2849,2501,2027,1734,1691,1773,1585,1321,820,563,476,464,679
23940,2008,1824,1694,1800,1665,1561,1510,1384,1509,1743,1777,1503,1050,785,643,625,454,405
14331,545,376,422,374,1223,2251,1481,1115,924,856,916,947,929,666,432,334,267,273
16808,1342,1281,1174,1342,1122,1044,960,981,973,1209,1185,1017,795,785,645,429,310,214
17814,1522,1377,1363,1361,1318,1237,1152,1082,1024,1171,1189,1023,774,585,453,452,389,342
10258,616,597,330,371,1089,1341,1032,902,713,581,654,550,485,363,227,150,105,152
15762,1336,1184,1101,1142,1253,1291,1257,1200,1096,1021,978,889,812,449,306,168,132,147
12757,1492,1235,1008,1062,1261,1080,972,803,783,757,589,425,386,323,239,163,112,67
27965,2201,2073,2109,2414,1873,1755,1587,1559,1648,1954,1802,1560,1334,1354,1066,801,503,372
33678,3372,3036,2691,2539,2958,3220,2907,2538,2114,2088,1726,1426,966,656,502,439,310,190
35896,3399,2871,2495,2485,2578,2973,2781,2605,2400,2385,2284,2078,1465,947,651,583,495,421
71969,7450,5971,4651,4616,6609,7469,6887,5855,4724,4184,3606,2787,2007,1506,1159,949,791,748
19819,2019,1931,1749,1734,1500,1591,1593,1502,1298,1146,1056,794,602,470,341,238,154,101
26713,2821,2677,2577,2239,2050,2267,2348,2092,1807,1584,1322,1035,755,446,326,182,126,59
27562,2792,2628,2460,2518,2284,2076,1993,1856,1754,1659,1472,1181,980,726,521,315,210,137
45081,3830,3362,3247,3134,3361,3826,3411,3307,3131,3136,3168,2755,2177,1297,793,523,354,269
37146,2934,3174,3096,2756,2211,2488,2556,2973,3003,2904,2764,2272,1699,1001,563,376,217,159
36385,2947,2146,1573,1518,3194,4657,3941,3130,2407,2171,2238,1883,1530,1109,756,541,362,282
23358,1824,1622,1571,1598,1568,1899,1744,1621,1493,1662,1621,1439,967,854,653,545,425,252
30949,3294,3122,2746,2279,1806,2515,2684,2710,2204,2002,1727,1444,1063,575,326,235,128,89
31255,2773,2817,2685,2684,2287,2240,2155,2148,1925,1886,1793,1671,1445,1082,743,472,261,188
1196,25,9,12,10,104,270,152,91,48,63,51,74,84,56,41,45,35,26
21077,1865,1597,1537,1445,1319,2131,2016,1721,1247,1320,1180,1018,761,589,548,371,241,171
15294,1246,1230,1230,1276,962,1026,961,1020,955,915,1016,962,771,623,475,326,184,116
28521,2747,2607,2586,2360,2206,2519,2357,2162,1917,1689,1683,1362,974,561,335,229,144,83
4611,477,431,335,325,359,364,363,268,270,269,224,216,233,224,133,58,36,26
15085,1334,1238,1132,1169,1127,1021,864,784,791,864,1025,949,641,527,503,446,374,296
22290,1332,615,445,571,3935,5194,3253,1757,1126,923,989,766,586,307,126,90,91,184
41989,3684,3493,3015,2838,2995,3600,3414,3178,2831,2768,2811,2212,1665,1094,753,620,532,486
18673,778,597,541,509,1137,2380,1726,1334,1111,1165,1319,1430,1360,969,674,504,470,669
39208,2686,1855,1365,1471,3619,5689,4475,3338,2768,2177,2126,1978,1874,1291,848,639,504,505
16406,957,689,652,732,1713,1952,1300,1124,1020,1104,1243,1054,899,678,513,358,240,178
16949,719,1153,1771,1603,583,446,492,770,1356,1953,1923,1373,1007,779,469,304,156,92
